# Cryptococcus neoformans H99 gene information
# Downloaded from FungiDB 59, 2022-09-05
GeneID	ProductDescription	GeneName	CuratedGOComponents	CuratedGOFunctions	CuratedGOProcesses
CNAG_00032	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	NA	NA	NA	NA
CNAG_00033	hypothetical protein	NA	NA	NA	NA
CNAG_00034	large subunit ribosomal protein L9e	RPL9B	extracellular vesicle	NA	NA
CNAG_00035	hypothetical protein	NA	NA	NA	NA
CNAG_00036	SEC14 cytosolic factor	SEC14-2	NA	NA	NA
CNAG_00038	Alcohol dehydrogenase	NA	NA	NA	cellular response to dithiothreitol
CNAG_00039	hypothetical protein	ZFC6	NA	NA	response to non-ionic osmotic stress;response to sodium dodecyl sulfate
CNAG_00040	cytochrome P450, family 51 (sterol 14- demethylase)	ERG11	NA	NA	response to drug
CNAG_00043	hypothetical protein, variant	NA	NA	NA	NA
CNAG_00044	ribosome assembly protein 1	NA	NA	NA	NA
CNAG_00045	hypothetical protein	NA	NA	NA	NA
CNAG_00046	26S proteasome regulatory subunit N8	NA	NA	NA	NA
CNAG_00047	pyruvate dehydrogenase kinase	PKP1	NA	NA	cellular response to salt stress
CNAG_00048	Sugar transporter	NA	NA	NA	NA
CNAG_00049	hypothetical protein	NA	NA	NA	NA
CNAG_00050	hypothetical protein	NA	NA	NA	NA
CNAG_00051	putative set3c deacetylase complex subunit	SNT1	NA	NA	NA
CNAG_00052	hypothetical protein	NA	NA	NA	NA
CNAG_00053	hypothetical protein	NA	NA	NA	NA
CNAG_00054	hypothetical protein	NA	NA	NA	NA
CNAG_00055	hypothetical protein	NA	NA	NA	NA
CNAG_00056	hypothetical protein	NA	NA	NA	NA
CNAG_00057	fructose-1,6-bisphosphatase I	FPP1	NA	NA	regulation of urease activity
CNAG_00058	T-complex protein 1 subunit epsilon	NA	NA	NA	NA
CNAG_00059	hypothetical protein	NA	NA	NA	NA
CNAG_00060	chaperone regulator, variant	NA	NA	NA	NA
CNAG_00061	citrate synthase, mitochondrial	CIT1	extracellular vesicle	NA	NA
CNAG_00062	26S proteasome regulatory subunit N3	NA	NA	NA	NA
CNAG_00063	Histone H3	CSE4	kinetochore	NA	NA
CNAG_00064	COPII-coated vesicle protein	NA	NA	NA	NA
CNAG_00065	ran-binding protein 1	NA	NA	NA	NA
CNAG_00066	membrane protein	NA	NA	NA	NA
CNAG_00067	protein translocase SEC61 complex gamma subunit	SSS1	NA	NA	NA
CNAG_00068	specific RNA polymerase II transcription factor	NA	NA	NA	NA
CNAG_00069	hypothetical protein	NA	NA	NA	NA
CNAG_00070	hypothetical protein	NA	NA	NA	NA
CNAG_00072	protein disulfide-isomerase	NA	NA	NA	NA
CNAG_00073	nuclear mRNA splicing protein	NA	NA	NA	NA
CNAG_00074	protein PNS1	NA	NA	NA	NA
CNAG_00075	hypothetical protein	NA	NA	NA	NA
CNAG_00076	A/G-specific adenine glycosylase	NDX6	NA	NA	NA
CNAG_00077	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	NA	NA	NA	NA
CNAG_00078	vacuolar protein	NA	NA	NA	NA
CNAG_00079	hypothetical protein	NA	NA	NA	NA
CNAG_00080	hypothetical protein	NA	NA	NA	NA
CNAG_00081	pre-mRNA-processing factor 6	NA	NA	NA	NA
CNAG_00082	cytosolic Fe-S cluster assembly factor CFD1	NA	NA	NA	NA
CNAG_00083	hypothetical protein	CCC1	ESC/E(Z) complex	protein binding	NA
CNAG_00084	glutamine-tRNA ligase	NA	NA	NA	NA
CNAG_00085	histone chaperone ASF1	NA	NA	NA	NA
CNAG_00086	N2,N2-dimethylguanosine tRNA methyltransferase	NA	NA	NA	NA
CNAG_00087	hypothetical protein	NA	NA	NA	NA
CNAG_00088	prohibitin PHB1	NA	NA	NA	NA
CNAG_00089	exosome complex component RRP4	NA	NA	NA	NA
CNAG_00090	hypothetical protein	NA	NA	NA	NA
CNAG_00091	hypothetical protein	NA	NA	NA	NA
CNAG_00092	mitochondrial protein	NA	NA	NA	NA
CNAG_00093	hypothetical protein	NA	NA	NA	NA
CNAG_00094	NAD-dependent epimerase/dehydratase	NA	NA	NA	NA
CNAG_00095	hypothetical protein	NA	NA	NA	NA
CNAG_00096	hypothetical protein	NA	NA	NA	NA
CNAG_00097	myo-inositol transporter, putative	ITR1	NA	NA	NA
CNAG_00098	palmitoyl-protein thioesterase	NA	NA	NA	NA
CNAG_00099	minichromosome maintenance protein 3	NA	NA	NA	NA
CNAG_00100	stress-induced-phosphoprotein 1	NA	NA	NA	NA
CNAG_00101	Inositolphosphorylceramide synthase subunit Kei1 domain-containing protein	KEI1	NA	NA	NA
CNAG_00104	elongation factor 3	NA	NA	NA	NA
CNAG_00105	pyridoxal reductase	NA	NA	NA	NA
CNAG_00106	Two-component-like sensor kinase	TCO5	NA	NA	cellular response to tert-butyl hydroperoxide
CNAG_00107	hypothetical protein	NA	NA	NA	NA
CNAG_00108	RuvB-like helicase 1	NA	NA	NA	NA
CNAG_00109	large subunit ribosomal protein L34	NA	NA	NA	NA
CNAG_00110	hypothetical protein	HPI3	NA	NA	NA
CNAG_00111	splicing factor 3A subunit 1	NA	NA	NA	NA
CNAG_00115	chlorophyll synthesis pathway protein BchC	NA	NA	NA	NA
CNAG_00116	small subunit ribosomal protein S3	NA	NA	NA	NA
CNAG_00117	c-14 sterol reductase	ERG24	NA	NA	NA
CNAG_00118	hypothetical protein	NA	NA	NA	NA
CNAG_00119	hypothetical protein	NA	NA	NA	NA
CNAG_00120	hypothetical protein	NA	NA	NA	NA
CNAG_00121	glycerol-3-phosphate dehydrogenase (NAD())	NA	NA	NA	NA
CNAG_00122	Alpha-amylase	NA	NA	NA	NA
CNAG_00123	hypothetical protein	NA	NA	NA	NA
CNAG_00124	Capsule structure designer protein	CAS32	NA	NA	NA
CNAG_00125	Putative regulator of G-protein signaling protein	CRG1	NA	NA	filamentous growth;mating
CNAG_00126	2-deoxy-D-gluconate 3-dehydrogenase	NA	NA	NA	NA
CNAG_00127	hypothetical protein	NA	NA	NA	NA
CNAG_00128	hypothetical protein	NA	NA	NA	NA
CNAG_00129	hypothetical protein	NA	NA	NA	NA
CNAG_00130	CAMK/CAMK1/CAMK1-RCK protein kinase	RCK2	NA	NA	cellular response to antibiotic;cellular response to diamide;cellular response to dithiothreitol;cellular response to methyl methanesulfonate;negative regulation of capsule organization;positive regulation of melanin biosynthetic process;regulation of urease activity;response to fungicide
CNAG_00131	Alcohol dehydrogenase	NA	NA	NA	NA
CNAG_00132	hypothetical protein, variant	NA	NA	NA	NA
CNAG_00133	hypothetical protein	NA	NA	NA	NA
CNAG_00134	hypothetical protein	NA	NA	NA	NA
CNAG_00135	cyclophilin	NA	NA	NA	NA
CNAG_00136	ubiquitin-activating enzyme E1	NA	NA	NA	NA
CNAG_00137	hypothetical protein	NA	NA	NA	NA
CNAG_00138	ubiquinone biosynthesis methyltransferase	NA	NA	NA	NA
CNAG_00139	hypothetical protein	NA	NA	NA	NA
CNAG_00140	U1 small nuclear ribonucleoprotein 70kDa	NA	NA	NA	NA
CNAG_00141	monooxygenase	NA	NA	NA	NA
CNAG_00142	hypothetical protein	NA	NA	NA	NA
CNAG_00143	phosphoribosylaminoimidazolesuccinocarboxamide synthase	NA	NA	NA	NA
CNAG_00144	hypothetical protein	NA	NA	NA	NA
CNAG_00145	actin-2	NA	NA	NA	NA
CNAG_00146	5'/3'-nucleotidase SurE	PBY101	NA	NA	cellular response to heat;cellular response to tunicamycin;mating
CNAG_00147	pre-mRNA-processing-splicing factor 8	NA	NA	NA	NA
CNAG_00148	hypothetical protein	NA	NA	NA	NA
CNAG_00149	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4	NA	NA	NA	NA
CNAG_00150	peptidase	PQP1	extracellular region	NA	NA
CNAG_00151	transcription elongation regulator 1	NA	NA	NA	NA
CNAG_00152	hypothetical protein	NA	NA	NA	NA
CNAG_00153	hypothetical protein	NA	NA	NA	NA
CNAG_00154	oxidoreductase	NA	NA	NA	NA
CNAG_00155	hypothetical protein	NA	NA	NA	NA
CNAG_00156	Putative zinc finger transcription factor	SP1	cytosol;nuclear chromatin;nucleus	DNA-binding transcription activator activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	calcineurin-mediated signaling;capsule organization;cellular response to heat;cellular response to salt stress;cellular response to sodium dodecyl sulfate;fungal-type cell wall organization;positive regulation of transcription by RNA polymerase II;positive regulation of transepithelial migration of 
CNAG_00157	hypothetical protein	NA	NA	NA	NA
CNAG_00158	alpha-1,6-mannosyltransferase	HOC3	NA	alpha-1,6-mannosyltransferase activity	O-glycan processing;cellular response to sodium dodecyl sulfate;protein O-linked mannosylation
CNAG_00159	hypothetical protein	NA	NA	NA	NA
CNAG_00160	hypothetical protein	NA	NA	NA	NA
CNAG_00161	auxin-induced protein	NA	NA	NA	NA
CNAG_00162	alternative oxidase, mitochondrial	AOX1	NA	NA	NA
CNAG_00163	general transcription factor 3C polypeptide 4, variant	NA	NA	NA	NA
CNAG_00164	hypothetical protein	NA	NA	NA	NA
CNAG_00165	methylthioadenosine phosphorylase	NA	NA	NA	NA
CNAG_00166	ATP-dependent RNA helicase DBP8	NA	NA	NA	NA
CNAG_00167	hypothetical protein	NA	NA	NA	NA
CNAG_00171	peroxin-2	NA	NA	NA	NA
CNAG_00172	kinesin	NA	NA	NA	NA
CNAG_00173	hypothetical protein	NA	NA	NA	NA
CNAG_00174	hypothetical protein	NA	NA	NA	NA
CNAG_00175	hypothetical protein	NA	NA	NA	NA
CNAG_00176	glutamate carboxypeptidase, variant	NA	NA	NA	NA
CNAG_00177	hypothetical protein	NA	NA	NA	NA
CNAG_00178	DNA repair protein REV1	NA	NA	NA	NA
CNAG_00179	guanine nucleotide-binding protein subunit alpha	GPA2	NA	NA	NA
CNAG_00180	ubiquitin carboxyl-terminal hydrolase L3	NA	NA	NA	NA
CNAG_00181	macrophage erythroblast attacher isoform 1	FYV10	NA	NA	NA
CNAG_00182	retrograde transporter	VPS29	NA	NA	cellular response to cadmium ion;cellular response to sodium dodecyl sulfate;cellular response to tunicamycin;positive regulation of melanin biosynthetic process;regulation of urease activity
CNAG_00183	alternative cyclin Pcl12, variant	NA	NA	NA	NA
CNAG_00184	pre-mRNA cleavage complex 2 protein Pcf11	NA	NA	NA	NA
CNAG_00185	hypothetical protein	NA	NA	NA	NA
CNAG_00186	mitotic spindle organizing protein 1	NA	NA	NA	NA
CNAG_00187	ubiquitin carboxyl-terminal hydrolase 1	UBP16	NA	NA	NA
CNAG_00188	endoplasmic reticulum protein	NA	NA	NA	NA
CNAG_00189	hypothetical protein	NA	NA	NA	NA
CNAG_00190	hypothetical protein	NA	NA	NA	NA
CNAG_00191	etoposide-induced protein	NA	NA	NA	NA
CNAG_00192	hypothetical protein	NA	NA	NA	NA
CNAG_00193	GATA type zinc finger protein asd-4	GAT1	NA	NA	capsule organization;mating;melanin biosynthetic process;negative regulation of melanin biosynthetic process;nitrogen utilization;response to diamide;response to dithiothreitol;response to heat;response to hydrogen peroxide;response to sodium dodecyl sulfate
CNAG_00194	hypothetical protein	NA	NA	NA	NA
CNAG_00195	exosome complex protein LRP1	NA	NA	NA	NA
CNAG_00229	hypothetical protein	NA	NA	NA	NA
CNAG_00231	hypothetical protein	NA	NA	NA	NA
CNAG_00232	large subunit ribosomal protein L30e	RPL30	extracellular vesicle	NA	NA
CNAG_00233	chaperone protein	NA	NA	NA	NA
CNAG_00234	tRNA-dihydrouridine synthase 4	NA	NA	NA	NA
CNAG_00235	amt family ammonium transporter	AMT1	NA	NA	NA
CNAG_00236	8-Amino-7-oxononanoate synthase	NA	NA	NA	NA
CNAG_00237	3-isopropylmalate dehydratase, large subunit	NA	NA	NA	NA
CNAG_00238	isoleucine-tRNA ligase	NA	NA	NA	NA
CNAG_00239	hypothetical protein	YAP1	NA	NA	capsule organization;cellular response to menadione;negative regulation of melanin biosynthetic process;regulation of urease activity;response to diamide;response to hydrogen peroxide;response to sodium dodecyl sulfate;response to tert-butyl hydroperoxide;response to tunicamycin
CNAG_00240	hypothetical protein	NA	NA	NA	NA
CNAG_00241	protein AIR1/2	NA	NA	NA	NA
CNAG_00242	hypothetical protein	NA	NA	NA	NA
CNAG_00243	hypothetical protein	NA	NA	NA	NA
CNAG_00246	hypothetical protein	NA	NA	NA	NA
CNAG_00247	alpha-aminoadipic semialdehyde synthase	LYS9	NA	NA	NA
CNAG_00248	ESCRT-II complex subunit VPS36	NA	NA	NA	NA
CNAG_00249	hypothetical protein	NA	NA	NA	NA
CNAG_00250	hypothetical protein	NA	NA	NA	NA
CNAG_00251	hypothetical protein	NA	NA	NA	NA
CNAG_00252	transcription elongation factor B, polypeptide 1, variant	NA	NA	NA	NA
CNAG_00253	hypothetical protein	NA	NA	NA	NA
CNAG_00254	NADH dehydrogenase	NA	NA	NA	NA
CNAG_00255	hypothetical protein	NA	NA	NA	NA
CNAG_00256	Aspartate-semialdehyde dehydrogenase	NA	NA	NA	NA
CNAG_00257	kinesin family member 21A, variant	NA	NA	NA	NA
CNAG_00258	Fungal gamma tubulin complex family protein	NA	NA	NA	filamentous growth
CNAG_00259	bud site selection protein	NA	NA	NA	NA
CNAG_00260	transformer-2 protein	NA	NA	NA	NA
CNAG_00261	hypothetical protein	NA	NA	NA	NA
CNAG_00262	hypothetical protein, variant	NA	NA	NA	NA
CNAG_00263	serine/threonine/tyrosine-interacting protein	PTP4	NA	NA	NA
CNAG_00264	nuclease I, variant	NA	NA	NA	NA
CNAG_00265	isopentenyl-diphosphate delta-isomerase	IDI1	NA	NA	NA
CNAG_00266	hypothetical protein	YFH7	NA	NA	cellular response to tunicamycin
CNAG_00267	hypothetical protein	NA	NA	NA	NA
CNAG_00268	acetolactate synthase, mitochondrial	ILV2	NA	NA	capsule organization
CNAG_00269	Sorbitol dehydrogenase	NA	NA	NA	NA
CNAG_00270	mitochondrial protein	NA	NA	NA	NA
CNAG_00271	INO80 complex subunit C	NA	NA	NA	NA
CNAG_00272	hypothetical protein	NA	NA	NA	NA
CNAG_00273	hypothetical protein	NA	NA	NA	NA
CNAG_00274	hypothetical protein	NA	NA	NA	NA
CNAG_00275	hypothetical protein	NA	NA	NA	NA
CNAG_00276	hypothetical protein	NA	NA	NA	NA
CNAG_00277	hypothetical protein	NA	NA	NA	NA
CNAG_00278	methionine aminopeptidase, type I	NA	NA	NA	NA
CNAG_00279	hypothetical protein	NA	NA	NA	NA
CNAG_00280	complement component 1 Q subcomponent-binding protein, mitochondrial	NA	NA	NA	NA
CNAG_00283	hypothetical protein	NA	NA	NA	NA
CNAG_00284	efflux protein EncT	NA	NA	NA	NA
CNAG_00285	hypothetical protein	NA	NA	NA	NA
CNAG_00286	putative nuclear polyadenylated mRNA-binding protein	NAB2	NA	NA	NA
CNAG_00287	cytoplasmic protein	NA	NA	NA	NA
CNAG_00288	oligoribonuclease	NA	NA	NA	NA
CNAG_00289	hypothetical protein	NA	NA	NA	NA
CNAG_00290	Aminopeptidase	NA	NA	NA	NA
CNAG_00291	hypothetical protein	NA	NA	NA	NA
CNAG_00292	zinc finger protein	NA	NA	NA	NA
CNAG_00293	Ras-like protein	RAS1	plasma membrane	NA	actin cytoskeleton organization;cell growth;cell morphogenesis;cellular heat acclimation;filamentous growth;hyperosmotic response;response to antibiotic;response to cadmium ion;response to drug;response to fungicide;response to hydroxyurea;response to methyl methanesulfonate;response to oxidative st
CNAG_00294	splicing factor 45	NA	NA	NA	NA
CNAG_00295	hypothetical protein	NA	NA	NA	NA
CNAG_00299	DNA repair protein rad5	NA	NA	NA	NA
CNAG_00300	gamma-tubulin complex component 2	NA	NA	NA	NA
CNAG_00301	hypothetical protein	NA	NA	NA	cellular response to heat
CNAG_00302	hypothetical protein	NA	NA	NA	NA
CNAG_00303	high-affinity nicotinic acid transporter	NA	NA	NA	NA
CNAG_00304	hypothetical protein	NA	NA	NA	NA
CNAG_00305	chaperone activator, variant	NA	NA	NA	NA
CNAG_00306	Copper-detoxifying metallothionein 2	MTN2	NA	NA	NA
CNAG_00307	hypothetical protein	NA	NA	NA	NA
CNAG_00308	gly-X carboxypeptidase	NA	NA	NA	NA
CNAG_00309	membrane protein	NA	NA	NA	NA
CNAG_00310	origin recognition complex subunit 5	NA	NA	NA	NA
CNAG_00311	3-hydroxyisobutyryl-CoA hydrolase	NA	NA	NA	NA
CNAG_00312	Synaptobrevin	NA	NA	NA	NA
CNAG_00313	hypothetical protein	NA	NA	NA	NA
CNAG_00314	hypothetical protein	NA	NA	NA	NA
CNAG_00315	HHE domain-containing protein	NA	NA	NA	NA
CNAG_00316	rdgB/HAM1 family non-canonical purine NTP pyrophosphatase	HAM1	NA	NA	NA
CNAG_00317	hypothetical protein	NA	NA	NA	NA
CNAG_00318	arp2/3 complex 16 kda subunit	NA	NA	NA	NA
CNAG_00319	hypothetical protein	NA	NA	NA	NA
CNAG_00320	anaphase-promoting complex subunit 3	NA	NA	NA	NA
CNAG_00321	dRaptor	NA	NA	NA	NA
CNAG_00322	hypothetical protein	NA	NA	NA	NA
CNAG_00323	hypothetical protein	NA	NA	NA	NA
CNAG_00326	hypothetical protein	NA	NA	NA	NA
CNAG_00327	DASH complex subunit DAD2	NA	NA	NA	NA
CNAG_00328	DNA excision repair protein ERCC-5	NA	NA	NA	filamentous growth
CNAG_00329	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	NA	NA	NA	NA
CNAG_00330	transcription factor TFIIIB component b''	NA	NA	NA	NA
CNAG_00331	anon-23da protein	NA	NA	NA	NA
CNAG_00332	hypothetical protein	SIP4	NA	NA	cellular response to menadione;negative regulation of melanin biosynthetic process;response to cadmium ion;response to sodium dodecyl sulfate
CNAG_00333	hypothetical protein	NA	NA	NA	NA
CNAG_00334	hsp75-like protein	NA	extracellular vesicle	NA	NA
CNAG_00335	hypothetical protein	NA	NA	NA	NA
CNAG_00336	hypothetical protein	NA	NA	NA	NA
CNAG_00337	hypothetical protein	NA	NA	NA	NA
CNAG_00342	hypothetical protein	NA	NA	NA	NA
CNAG_00343	hypothetical protein	NA	NA	NA	NA
CNAG_00344	hypothetical protein	NA	NA	NA	NA
CNAG_00345	porphobilinogen synthase	NA	NA	NA	NA
CNAG_00346	hypothetical protein	NA	NA	NA	NA
CNAG_00347	DEAH box polypeptide 36	NA	NA	NA	NA
CNAG_00348	hypothetical protein	NA	NA	NA	NA
CNAG_00349	hypothetical protein	NA	NA	NA	NA
CNAG_00351	hypothetical protein	NA	NA	NA	NA
CNAG_00352	A1 cistron-splicing factor AAR2	NA	NA	NA	NA
CNAG_00353	3-oxo-5-alpha-steroid 4-dehydrogenase 1	LPI16	NA	NA	NA
CNAG_00354	vacuolar protein 8	NA	NA	NA	NA
CNAG_00355	hypothetical protein	NA	NA	NA	NA
CNAG_00356	survival factor 1	NA	NA	NA	NA
CNAG_00357	ribonuclease HI	NA	NA	NA	NA
CNAG_00358	tRNA dimethylallyltransferase	NA	NA	NA	NA
CNAG_00359	hypothetical protein	NA	NA	NA	NA
CNAG_00360	nuclear protein SNF4	NA	NA	NA	NA
CNAG_00361	hypothetical protein	RVS167	NA	NA	cellular response to iron ion starvation
CNAG_00362	hypothetical protein	NA	NA	NA	NA
CNAG_00363	Two-component-like sensor kinase	TCO6	NA	NA	cellular response to diamide;cellular response to heat;cellular response to sodium dodecyl sulfate;mating;positive regulation of capsule organization;positive regulation of melanin biosynthetic process
CNAG_00364	tRNA threonylcarbamoyladenosine biosynthesis protein	NA	NA	NA	NA
CNAG_00365	lysophospholipid acyltransferase	NA	NA	NA	NA
CNAG_00366	hypothetical protein	NA	NA	NA	NA
CNAG_00367	dynactin 5	DYN5	NA	NA	NA
CNAG_00368	vacuolar-sorting protein 53 long isoform	NA	NA	NA	cellular response to hydrogen peroxide;cellular response to salt stress
CNAG_00369	hypothetical protein	NA	NA	NA	NA
CNAG_00370	Predicted ubiquitin-ribosomal 60s subunit protein L40a fusion protein	UBI1	extracellular vesicle	NA	NA
CNAG_00371	methylglutaconyl-CoA hydratase	NA	NA	NA	NA
CNAG_00372	chromatin structure-remodeling complex protein RSC7	NA	NA	NA	NA
CNAG_00373	glucan 1,3-beta-glucosidase	NA	NA	NA	NA
CNAG_00374	hypothetical protein	NA	NA	NA	cellular response to dithiothreitol
CNAG_00375	histone acetyltransferase	GCN5	NA	NA	capsule organization;response to tacrolimus
CNAG_00376	hypothetical protein	NA	NA	NA	NA
CNAG_00377	DNA topoisomerase II, variant	NA	NA	NA	NA
CNAG_00378	hypothetical protein	NA	NA	NA	NA
CNAG_00383	Aminophospholipid translocase, putative	APT3	NA	NA	NA
CNAG_00384	RAD51-like protein 2	NA	NA	NA	NA
CNAG_00385	20S proteasome subunit beta 3	NA	NA	NA	NA
CNAG_00386	translation initiation factor 4G	NA	NA	NA	NA
CNAG_00387	hypothetical protein	LPI13	NA	NA	NA
CNAG_00388	1-phosphatidylinositol-4-phosphate 5-kinase	NA	NA	NA	NA
CNAG_00389	mitochondrial protein	NA	NA	NA	NA
CNAG_00390	myotubularin	YMR1	NA	NA	cellular response to antibiotic;cellular response to cadmium ion;cellular response to sodium dodecyl sulfate
CNAG_00391	hypothetical protein	NA	NA	NA	NA
CNAG_00392	kelch repeat-containing protein	NA	NA	NA	NA
CNAG_00393	1,4-alpha-glucan-branching enzyme	NA	NA	NA	NA
CNAG_00394	diphthamide biosynthesis protein 3	NA	NA	NA	NA
CNAG_00395	structure-specific endonuclease subunit SLX1	NA	NA	NA	NA
CNAG_00396	AGC/PKA protein kinase	PKA1	NA	protein kinase activity	capsule organization;cellular response to antibiotic;cellular response to diamide;cellular response to hydrogen peroxide;cellular response to hydroxyurea;cellular response to tunicamycin;chitin localization;hyperosmotic response;mating;melanin biosynthetic process;positive regulation of capsule orga
CNAG_00397	2-oxoisovalerate dehydrogenase E1 component, beta subunit	NA	NA	NA	NA
CNAG_00398	hypothetical protein	NA	NA	NA	NA
CNAG_00399	transformer-2-beta isoform 3	NA	NA	NA	NA
CNAG_00400	secondary thiamine-phosphate synthase enzyme	NA	NA	NA	NA
CNAG_00401	phosphatidylinositol glycan, class U	NA	NA	NA	NA
CNAG_00402	translation initiation factor 4G	NA	NA	NA	NA
CNAG_00403	mitochondrial protein	NA	NA	NA	NA
CNAG_00404	RING zinc finger protein	NA	NA	NA	NA
CNAG_00405	ste/ste20/ysk protein kinase	KIC1	NA	NA	cellular response to cadmium ion;cellular response to diamide;cellular response to dithiothreitol;cellular response to heat;cellular response to hydroxyurea;cellular response to menadione;cellular response to salt stress;cellular response to sodium dodecyl sulfate;cellular response to sorbitol;cellu
CNAG_00406	hypothetical protein	NA	NA	NA	NA
CNAG_00407	glyoxal oxidase	NA	extracellular region	NA	cellular response to heat;cellular response to salt stress
CNAG_00408	serine/threonine-protein phosphatase PP-X isozyme 1	PPH3	NA	NA	cellular response to diamide;cellular response to methyl methanesulfonate;cellular response to oxidative stress;response to sodium dodecyl sulfate
CNAG_00409	hypothetical protein	NA	NA	NA	NA
CNAG_00410	hypothetical protein	NA	NA	NA	NA
CNAG_00411	nucleoporin p58/p45	NA	NA	NA	NA
CNAG_00412	hypothetical protein	NA	NA	NA	NA
CNAG_00413	putative oxidoreductase	OFD1	NA	NA	NA
CNAG_00414	Maintenance of killer protein 32, putative	MAK32	NA	NA	NA
CNAG_00415	CMGC/CDK protein kinase	CDC2801	NA	NA	cellular response to cadmium ion;cellular response to dithiothreitol;cellular response to menadione;cellular response to salt stress;cellular response to tunicamycin;mating;melanin biosynthetic process;positive regulation of capsule organization;positive regulation of melanin biosynthetic process;po
CNAG_00416	f-box/wd-repeat protein lin-23	NA	NA	NA	NA
CNAG_00417	elongation factor 1-gamma	NA	NA	NA	NA
CNAG_00418	S-adenosylmethionine synthase	NA	NA	NA	NA
CNAG_00419	DNA polymerase beta subunit	NA	NA	NA	NA
CNAG_00420	dolichyl-phosphate mannosyltransferase polypeptide 3	NA	NA	NA	NA
CNAG_00421	charged multivesicular body protein 3	NA	NA	NA	NA
CNAG_00422	hypothetical protein	NA	NA	NA	NA
CNAG_00423	kinetochore protein Spc24, fungi type	NA	NA	NA	NA
CNAG_00424	choline-phosphate cytidylyltransferase	NA	NA	NA	NA
CNAG_00425	hypothetical protein	NA	NA	NA	NA
CNAG_00426	UBA/TS-N domain-containing protein	NA	NA	NA	NA
CNAG_00427	type 2C protein Phosphatase	PTC5	NA	NA	NA
CNAG_00428	hypothetical protein	NA	NA	NA	NA
CNAG_00429	tRNA-dihydrouridine synthase 1	NA	NA	NA	NA
CNAG_00430	hypothetical protein	NA	NA	NA	NA
CNAG_00433	hypothetical protein	NA	NA	NA	NA
CNAG_00434	arginine N-methyltransferase 2	NA	NA	NA	NA
CNAG_00435	hypothetical protein	NA	NA	NA	NA
CNAG_00436	palmitoyltransferase akr1	NA	NA	NA	NA
CNAG_00437	anaphase-promoting complex subunit 11	NA	NA	NA	NA
CNAG_00438	hypothetical protein	NA	NA	NA	NA
CNAG_00439	hypothetical protein	NA	NA	NA	NA
CNAG_00440	RNA polymerase II holoenzyme cyclin-like subunit	SSN801	NA	NA	capsule organization;melanin biosynthetic process
CNAG_00441	inosine-5'-monophosphate dehydrogenase	IMD1	extracellular vesicle	NA	NA
