gene	baseMean	log2FC	stderror	padj
CNAG_03569	74.688	-2.5073	0.6805	0.0057122
CNAG_06335	13.306	-2.4275	0.54936	5.1764e-4
CNAG_03742	346.99	-2.4042	0.4423	8.0492e-6
CNAG_01085	71.358	-2.3599	0.43342	7.8123e-6
CNAG_03019	97.778	-2.3292	0.48926	1.616e-4
CNAG_06321	344.21	-2.2977	0.52796	0.00066282000000000005
CNAG_00900	30.959	-2.2974	0.65791	0.0092102
CNAG_06794	477.57	-2.2469	0.36574	3.2228e-7
CNAG_03539	9.7753	-2.2291	0.47483	2.1331e-4
CNAG_01193	109.68	-2.2071	0.48386	3.1327e-4
CNAG_03412	227.67	-2.1956	0.30834	1.1593e-9
CNAG_05299	59.799	-2.1933	0.37522	1.3175e-6
CNAG_05346	96.157	-2.1858	0.62421	0.0090092
CNAG_01026	86.33	-2.132	0.51079	0.0012456
CNAG_00540	38.236	-2.1288	0.60053	0.0080961
CNAG_02818	171.21	-2.121	0.29775	1.1593e-9
CNAG_00397	167.5	-2.1095	0.47402	4.6768e-4
CNAG_04527	506.11	-2.1026	0.49732	0.001046
CNAG_03977	25.353	-2.0982	0.45342	2.6216e-4
CNAG_01909	17.118	-2.098	0.61324	0.011104
CNAG_02566	42.855	-2.0954	0.44296	1.8539e-4
CNAG_04231	48.247	-2.0761	0.40782	3.7799e-5
CNAG_04028	2467.5	-2.076	0.35359	1.3061e-6
CNAG_00981	32.777	-2.0744	0.59622	0.0095255
CNAG_03463	399.88	-2.0418	0.2806	6.1745e-10
CNAG_04301	132.35	-2.0151	0.30405	2.317e-8
CNAG_07859	44.021	-1.997	0.55457	0.0069345
CNAG_04962	354.56	-1.97	0.35729	6.1098e-6
CNAG_02170	61.404	-1.9633	0.56993	0.010475
CNAG_04284	443.75	-1.9543	0.36661	1.3531e-5
CNAG_03125	8.8706	-1.9432	0.53276	0.0061937
CNAG_04986	458.69	-1.9376	0.45155	8.3736e-4
CNAG_02490	344.29	-1.9254	0.42312	3.239e-4
CNAG_00133	125.19	-1.9218	0.41081	2.2314e-4
CNAG_04381	221.83	-1.9117	0.37128	3.2323e-5
CNAG_03894	141.74	-1.8939	0.52547	0.0068719
CNAG_07825	123.1	-1.8699	0.36695	3.7375e-5
CNAG_05605	681.76	-1.8625	0.5035	0.0054974
CNAG_05752	12.944	-1.8605	0.47598	0.0028202
CNAG_06276	213.2	-1.8573	0.4815	0.0032936
CNAG_05924	34.942	-1.8566	0.45094	0.0014946
CNAG_00146	559.56	-1.8413	0.39622	2.4533e-4
CNAG_07988	222.7	-1.8284	0.49665	0.0057479
CNAG_01051	66.475	-1.8262	0.53603	0.011396
CNAG_00328	240.87	-1.8019	0.24791	6.1745e-10
CNAG_04866	169.03	-1.7993	0.43152	0.0012607
CNAG_06272	541.89	-1.7784	0.3469	3.4526e-5
CNAG_06470	143.95	-1.7745	0.47342	0.0046962
CNAG_04763	284.5	-1.7733	0.27377	5.2762e-8
CNAG_02355	62.903	-1.7451	0.55986	0.023705
CNAG_04152	63.647	-1.7398	0.42705	0.0017608
CNAG_04891	37.708	-1.7276	0.40455	8.8251e-4
CNAG_05134	467.63	-1.7173	0.43307	0.0024348
CNAG_00107	122.42	-1.7146	0.41601	0.0014845
CNAG_06290	62.536	-1.702	0.33369	3.7077e-5
CNAG_03671	44.362	-1.7012	0.40297	0.0010674
CNAG_03526	69.431	-1.6922	0.2991	3.0626e-6
CNAG_04708	306.53	-1.6714	0.31639	1.7276e-5
CNAG_02282	133.17	-1.6704	0.35607	2.1421e-4
CNAG_03017	554.21	-1.6677	0.38505	7.0813e-4
CNAG_07739	554.35	-1.6586	0.40872000000000003	0.0018637
CNAG_00697	264.87	-1.63	0.30153	9.3083e-6
CNAG_02207	415.38	-1.6291	0.47456	0.010863
CNAG_00131	110.53	-1.6267	0.43808	0.0052555
CNAG_05233	379.9	-1.6211	0.41163	0.0026562
CNAG_00072	520.88	-1.6191	0.28258	2.2001e-6
CNAG_02010	84.975	-1.5887	0.48834	0.016963
CNAG_02859	164.49	-1.5842	0.27961	3.0077e-6
CNAG_02038	115.64	-1.5788	0.34466	2.963e-4
CNAG_01373	566.87	-1.5771	0.35932	5.8452e-4
CNAG_01663	62.897	-1.5626	0.45361	0.010475
CNAG_02103	72.484	-1.5461	0.39398	0.0027072
CNAG_01811	1054.1	-1.5259	0.36454	0.0011896
CNAG_06904	55.252	-1.5221	0.38219	0.0023231
CNAG_03402	378.04	-1.5198	0.31267	1.0443e-4
CNAG_03845	812.84	-1.5193	0.42841	0.0080942
CNAG_02495	796.65	-1.5059	0.29468	3.6365e-5
CNAG_00174	184.84	-1.5008	0.27447	7.3437e-6
CNAG_03835	971.43	-1.4706	0.34283	8.3736e-4
CNAG_04894	90.393	-1.4691	0.4415	0.013758
CNAG_05189	186.07	-1.4691	0.30795	1.5692e-4
CNAG_01520	116.37	-1.4667	0.33319	5.5513e-4
CNAG_03392	223.81	-1.452	0.30901	2.1117e-4
CNAG_02458	319.51	-1.44	0.23307	2.7427e-7
CNAG_06658	448.29	-1.436	0.31233	2.7842e-4
CNAG_00043	177.98	-1.4325	0.3347	8.5042e-4
CNAG_00735	50.452	-1.4297	0.35756	0.0022397
CNAG_07605	140.34	-1.4122	0.31828	4.8379e-4
CNAG_01537	210.98	-1.4118	0.33629	0.0011477
CNAG_04795	166.9	-1.4112	0.28625	7.8641e-5
CNAG_01965	21.157	-1.4069	0.38233	0.0057479
CNAG_00424	495.88	-1.4026	0.38659	0.0065623
CNAG_00879	1234.3	-1.3973	0.25123	4.7591e-6
CNAG_04548	31.246	-1.3849	0.49734	0.049703
CNAG_06389	199.52	-1.3839	0.49468	0.048494
CNAG_08000	71.776	-1.361	0.35247	0.003264
CNAG_02662	279.65	-1.3542	0.27302	7.1251e-5
CNAG_03524	123.33	-1.3491	0.33458	0.0020361
CNAG_03076	50.693	-1.3271	0.3405	0.0029416
CNAG_05518	572.92	-1.3055	0.37377	0.0092091
CNAG_00890	25.991	-1.2994	0.43494	0.032258
CNAG_05568	236.82	-1.2975	0.28049	2.6216e-4
CNAG_04339	309.63	-1.292	0.26339	8.6606e-5
CNAG_03994	362.05	-1.2865	0.3669	0.008944
CNAG_00378	349.91	-1.2628	0.34423	0.0059302
CNAG_03556	30.764	-1.2589	0.31418	0.0022018
CNAG_06532	105.92	-1.2562	0.23262	9.4037e-6
CNAG_04484	331.46	-1.2558	0.20117	1.945e-7
CNAG_05395	299.87	-1.2474	0.22893	7.8123e-6
CNAG_05292	1654.5	-1.2474	0.21336	1.3175e-6
CNAG_00127	63.06	-1.2415	0.28989	8.5042e-4
CNAG_04806	1135.6	-1.239	0.39561	0.022952
CNAG_03670	452.51	-1.2367	0.36817	0.012827
CNAG_01129	39.33	-1.2353	0.40528	0.028151
CNAG_06437	740.14	-1.2171	0.17129	1.1593e-9
CNAG_06117	149.58	-1.2153	0.30845	0.0026562
CNAG_01892	323.63	-1.2137	0.24574	7.7191e-5
CNAG_00176	396.99	-1.2122	0.20672	1.3061e-6
CNAG_02199	168.09	-1.1983	0.26193	2.9928e-4
CNAG_00175	184.75	-1.1963	0.30984	0.003264
CNAG_03821	223.39	-1.1795	0.2423	1.02e-4
CNAG_02749	518.75	-1.1616	0.29146	0.0023179
CNAG_03216	76.352	-1.1588	0.22581	3.4162e-5
CNAG_00039	216.25	-1.1518	0.29784	0.003233
CNAG_03100	130.08	-1.1515	0.19265	7.7124e-7
CNAG_04175	780.89	-1.146	0.28821	0.0023632
CNAG_00254	428.6	-1.1381	0.20272	3.723e-6
CNAG_05263	70.34	-1.1301	0.3418	0.014466
CNAG_04496	82.815	-1.1159	0.28448	0.002712
CNAG_01743	490.9	-1.1116	0.23963	2.5295e-4
CNAG_04206	142.43	-1.1096	0.32205	0.010475
CNAG_00642	121.28	-1.1052	0.30562	0.0066931
CNAG_03888	218.09	-1.1017	0.2769	0.0023482
CNAG_06577	188.77	-1.0965	0.36081	0.028456
CNAG_03563	315.73	-1.0899	0.25456	8.5042e-4
CNAG_01006	110.83	-1.084	0.23562	2.7842e-4
CNAG_04955	118.89	-1.0839	0.26585	0.001748
CNAG_03869	303.19	-1.0697	0.2506	8.8335e-4
CNAG_00853	659.92	-1.0691	0.23355	2.9787e-4
CNAG_01667	394.8	-1.0615	0.29667	0.0073412
CNAG_00407	1003.5	-1.061	0.20659	3.4071e-5
CNAG_04380	588.18	-1.0608	0.21442	7.5154e-5
CNAG_00372	356.42	-1.0604	0.19023	4.5569e-6
CNAG_07940	75.883	-1.0504	0.34558	0.028456
CNAG_02175	47.221	-1.0495	0.33642	0.023625
CNAG_01229	48.606	-1.0414	0.29719	0.0089799
CNAG_04531	129.06	-1.0303	0.23705	6.711e-4
CNAG_02404	587.78	-1.0173	0.18506	6.5407e-6
CNAG_03408	256.05	-1.017	0.29009	0.008944
CNAG_04849	124.77	-1.0152	0.27725	0.0060214
CNAG_03655	186.73	-1.009	0.25639	0.0026562
