Gat201_4h_down,Gene,Product
173,CNAG_06657,hypothetical protein
174,CNAG_07695,gamma-aminobutyric acid transporter
175,CNAG_00581,saccharopepsin
176,CNAG_07937,O-acetyltransferase
177,CNAG_06832,"glucosidase, variant 2"
178,CNAG_06832,"glucosidase, variant 1"
179,CNAG_06832,glucosidase
180,CNAG_01742,aquaporin-associated protein
181,CNAG_05803,"exo-beta-1,3-glucanase"
182,CNAG_05281,hypothetical protein
183,CNAG_05281,"hypothetical protein, variant"
184,CNAG_05154,membrane fraction protein
185,CNAG_06424,claudin family protein
186,CNAG_02194,AGC/NDR protein kinase
187,CNAG_03727,hypothetical protein
188,CNAG_04866,NAD-dependent histone deacetylase SIR2
189,CNAG_07799,ABC transporter
190,CNAG_04283,integral membrane protein
191,CNAG_04283,"integral membrane protein, variant"
192,CNAG_05238,"hypothetical protein, variant"
193,CNAG_05238,hypothetical protein
194,CNAG_02797,hypothetical protein
195,CNAG_02600,tartrate transporter
196,CNAG_05813,hypothetical protein
197,CNAG_05277,vesicle-associated membrane protein 4
198,CNAG_05277,"vesicle-associated membrane protein 4, variant"
199,CNAG_00303,high-affinity nicotinic acid transporter
200,CNAG_00303,"high-affinity nicotinic acid transporter, variant"
201,CNAG_06017,hypothetical protein
202,CNAG_01165,D-erythro-sphingosine kinase
203,CNAG_01592,protein-S-isoprenylcysteine O-methyltransferase
204,CNAG_06651,amidohydrolase
205,CNAG_04888,hypothetical protein
206,CNAG_01193,"hypothetical protein, variant"
207,CNAG_01193,hypothetical protein
208,CNAG_04623,hypothetical protein
209,CNAG_07807,histone H4
210,CNAG_01335,hypothetical protein
211,CNAG_00374,hypothetical protein
212,CNAG_04861,transglycosylase SLT domain-containing protein
213,CNAG_02455,choline transporter
214,CNAG_02531,CMGC/MAPK protein kinase
215,CNAG_05193,endoplasmic reticulum-Golgi intermediate compartment protein 2
216,CNAG_03500,osmosensor
217,CNAG_05060,hypothetical protein
218,CNAG_05853,hypothetical protein
219,CNAG_05302,amine oxidase
220,CNAG_02095,cyclin
221,CNAG_06422,hypothetical protein
222,CNAG_06163,hypothetical protein
223,CNAG_06493,hypothetical protein
224,CNAG_05663,cell wall integrity protein scw1
225,CNAG_04416,major facilitator superfamily transporter
226,CNAG_00053,hypothetical protein
227,CNAG_02063,hypothetical protein
228,CNAG_05812,"potassium:hydrogen antiporter, variant"
229,CNAG_05812,potassium:hydrogen antiporter
230,CNAG_00675,"carnitine/acyl carnitine carrier, variant"
231,CNAG_00675,carnitine/acyl carnitine carrier
232,CNAG_02658,hypothetical protein
233,CNAG_03413,alginate lyase
234,CNAG_07440,nuclear distribution protein PAC1
235,CNAG_05962,"hypothetical protein, variant 2"
236,CNAG_05962,"hypothetical protein, variant 1"
237,CNAG_05962,hypothetical protein
238,CNAG_00331,anon-23da protein
239,CNAG_01982,hypothetical protein
240,CNAG_00128,hypothetical protein
241,CNAG_05724,hypothetical protein
242,CNAG_06162,hypothetical protein
243,CNAG_03600,"ATP-binding cassette, subfamily B (MDR/TAP), member 1"
244,CNAG_03172,hypothetical protein
245,CNAG_04227,hypothetical protein
246,CNAG_04398,specific RNA polymerase II transcription factor
247,CNAG_04768,hypothetical protein
248,CNAG_06835,glucosidase
249,CNAG_03381,hypothetical protein
250,CNAG_00794,hypothetical protein
251,CNAG_04213,signal transducer
252,CNAG_06150,hsp90-like protein
253,CNAG_07466,"U3 small nucleolar RNA-associated protein 7, variant 2"
254,CNAG_07466,"U3 small nucleolar RNA-associated protein 7, variant 1"
255,CNAG_07466,U3 small nucleolar RNA-associated protein 7
256,CNAG_01865,hypothetical protein
257,CNAG_06780,hypothetical protein
258,CNAG_05752,kinesin family member C1
259,CNAG_06758,efflux protein
260,CNAG_00419,DNA polymerase beta subunit
261,CNAG_07663,hypothetical protein
262,CNAG_00907,"hypothetical protein, variant"
263,CNAG_00907,hypothetical protein
264,CNAG_00879,glutamate dehydrogenase
265,CNAG_06310,CAMK/CAMKL protein kinase
266,CNAG_06310,"CAMK/CAMKL protein kinase, variant 1"
267,CNAG_06310,"CAMK/CAMKL protein kinase, variant 2"
268,CNAG_01318,sodium/hydrogen exchanger 3
269,CNAG_00539,membrane transporter
270,CNAG_03841,hypothetical protein
271,CNAG_03733,hypothetical protein
272,CNAG_02983,hypothetical protein
273,CNAG_04154,hypothetical protein
274,CNAG_04042,hypothetical protein
275,CNAG_04949,hypothetical protein
276,CNAG_06276,hypothetical protein
277,CNAG_06606,rho family protein
278,CNAG_03308,hypothetical protein
279,CNAG_07779,D-glycerate 3-kinase
280,CNAG_02678,hypothetical protein
281,CNAG_04373,alginate lyase
282,CNAG_02851,threonine aldolase
283,CNAG_01081,hypothetical protein
284,CNAG_01690,"MFS transporter, variant 1"
285,CNAG_01690,"MFS transporter, variant 2"
286,CNAG_01690,MFS transporter
287,CNAG_00397,"2-oxoisovalerate dehydrogenase E1 component, beta subunit"
288,CNAG_07486,hypothetical protein
289,CNAG_03551,"hypothetical protein, variant"
290,CNAG_03551,hypothetical protein
291,CNAG_03223,hypothetical protein
292,CNAG_06624,hypothetical protein
293,CNAG_00642,hypothetical protein
294,CNAG_07401,hypothetical protein
295,CNAG_05657,cytoplasmic protein
296,CNAG_05340,monosaccharide transporter
297,CNAG_00192,hypothetical protein
298,CNAG_01777,glyoxylate reductase
299,CNAG_02040,hypothetical protein
300,CNAG_02107,hypothetical protein
301,CNAG_00702,hypothetical protein
302,CNAG_06590,"hypothetical protein, variant"
303,CNAG_06590,hypothetical protein
304,CNAG_01567,hypothetical protein
305,CNAG_06724,DNA repair and recombination protein RAD52
306,CNAG_00123,hypothetical protein
307,CNAG_02044,hypothetical protein
308,CNAG_06836,oxidoreductase
309,CNAG_06191,hypothetical protein
310,CNAG_06099,hypothetical protein
311,CNAG_01285,Aur protein kinase
312,CNAG_01909,signal transducer
313,CNAG_07470,high-affinity phosphodiesterase
314,CNAG_01689,hypothetical protein
315,CNAG_01689,"hypothetical protein, variant"
316,CNAG_00024,"hypothetical protein, variant 1"
317,CNAG_00024,hypothetical protein
318,CNAG_00024,"hypothetical protein, variant 2"
319,CNAG_07834,hypothetical protein
320,CNAG_07599,DNA mismatch repair protein PMS2
321,CNAG_06285,hypothetical protein
322,CNAG_04469,4-aminobutyrate transaminase
323,CNAG_01542,taurine catabolism dioxygenase TauD
324,CNAG_04497,hypothetical protein
325,CNAG_00664,hypothetical protein
326,CNAG_03382,hypothetical protein
327,CNAG_03556,dimethylaniline monooxygenase
328,CNAG_06336,"glucan 1,3-beta-glucosidase"
329,CNAG_01803,hypothetical protein
330,CNAG_06311,"cytoplasmic protein, variant"
331,CNAG_07702,hypothetical protein
332,CNAG_04781,hypothetical protein
333,CNAG_04781,"hypothetical protein, variant 1"
334,CNAG_04781,"hypothetical protein, variant 2"
335,CNAG_06440,DNA dependent ATPase
336,CNAG_04210,"MFS transporter, SP family, general alpha glucoside:H symporter"
337,CNAG_01511,hypothetical protein
338,CNAG_05915,hypothetical protein
339,CNAG_06149,"hypothetical protein, variant"
340,CNAG_06149,hypothetical protein
341,CNAG_02777,"phosphate:H symporter, variant"
342,CNAG_02777,phosphate:H symporter
343,CNAG_00404,RING zinc finger protein
344,CNAG_05080,calcofluor white hypersensitive protein
345,CNAG_07970,crossover junction endonuclease EME1
346,CNAG_03179,hypothetical protein
347,CNAG_00914,glucosidase
348,CNAG_01616,hypothetical protein
349,CNAG_06795,hypothetical protein
350,CNAG_03154,"hypothetical protein, variant"
351,CNAG_03154,hypothetical protein
352,CNAG_03561,hypothetical protein
353,CNAG_07554,capsular associated protein
354,CNAG_03241,hypothetical protein
355,CNAG_00691,hypothetical protein
356,CNAG_02856,potassium ion transporter
357,CNAG_00373,"glucan 1,3-beta-glucosidase"
358,CNAG_01612,"CAMK/CAMKL protein kinase, variant"
359,CNAG_03519,cytoplasmic protein
360,CNAG_01891,RAD57 protein
361,CNAG_07419,hypothetical protein
362,CNAG_07419,"hypothetical protein, variant"
363,CNAG_07566,hypothetical protein
364,CNAG_07600,beta-glucosidase
365,CNAG_04681,hypothetical protein
366,CNAG_04681,"hypothetical protein, variant"
367,CNAG_03655,"hypothetical protein, variant"
368,CNAG_03655,hypothetical protein
369,CNAG_00746,hypothetical protein
370,CNAG_04456,hypothetical protein
371,CNAG_01438,transcription factor
372,CNAG_01255,hypothetical protein
373,CNAG_00799,cellulase
374,CNAG_02509,hypothetical protein
375,CNAG_03322,UDP-glucuronate decarboxylase
376,CNAG_00011,hypothetical protein
377,CNAG_04209,voltage-gated potassium channel protein beta-2 subunit
378,CNAG_04186,hypothetical protein
379,CNAG_05817,GDP-mannose transporter 1
380,CNAG_05534,pyridoxal reductase
381,CNAG_01793,hypothetical protein
382,CNAG_01793,"hypothetical protein, variant"
383,CNAG_01334,hypothetical protein
384,CNAG_01334,"hypothetical protein, variant"
385,CNAG_05668,hypothetical protein
386,CNAG_05351,phosphomannomutase
387,CNAG_07339,hypothetical protein
388,CNAG_02588,avenacinase
389,CNAG_00398,hypothetical protein
390,CNAG_01919,hypothetical protein
391,CNAG_01521,metallo-beta-lactamase
392,CNAG_00699,transmembrane receptor
393,CNAG_07443,hypothetical protein
394,CNAG_03076,hypothetical protein
395,CNAG_07415,hypothetical protein
396,CNAG_02103,hypothetical protein
397,CNAG_02103,"hypothetical protein, variant"
398,CNAG_02164,hypothetical protein
399,CNAG_00141,monooxygenase
400,CNAG_05153,hypothetical protein
401,CNAG_00025,"calcium/proton exchanger, variant"
402,CNAG_00025,calcium/proton exchanger
403,CNAG_03830,"hypothetical protein, variant 1"
404,CNAG_03830,"hypothetical protein, variant 2"
405,CNAG_03830,hypothetical protein
406,CNAG_00066,membrane protein
407,CNAG_04468,"tartrate dehydrogenase, variant"
408,CNAG_04468,tartrate dehydrogenase
409,CNAG_01635,hypothetical protein
410,CNAG_04801,hypothetical protein
411,CNAG_03637,ATP-dependent DNA helicase 2 subunit 2
412,CNAG_07993,hypothetical protein
413,CNAG_05348,cell division control protein 42
414,CNAG_02979,hypothetical protein
415,CNAG_05221,histone H2A.Z
416,CNAG_06009,cyclohydrolase
417,CNAG_01194,hypothetical protein
418,CNAG_03934,hypothetical protein
419,CNAG_07436,hypothetical protein
420,CNAG_03047,hypothetical protein
421,CNAG_02510,"hypothetical protein, variant 1"
422,CNAG_02510,"hypothetical protein, variant 2"
423,CNAG_02510,hypothetical protein
424,CNAG_01239,chitin deacetylase
425,CNAG_06967,phytase
426,CNAG_02264,AFG1-family ATPase
427,CNAG_02264,"AFG1-family ATPase, variant"
428,CNAG_05429,hypothetical protein
429,CNAG_04755,STE/STE11/BCK1 protein kinase
430,CNAG_07634,hypothetical protein
431,CNAG_00596,hypothetical protein
432,CNAG_03140,sugar transporter
433,CNAG_01441,hypothetical protein
434,CNAG_01441,"hypothetical protein, variant"
435,CNAG_07349,hypothetical protein
436,CNAG_05820,tryptophan aminotransferase
437,CNAG_02175,5'-3' exoribonuclease 1
438,CNAG_02207,hypothetical protein
439,CNAG_01489,maltose O-acetyltransferase
440,CNAG_02839,hypothetical protein
441,CNAG_05941,hypothetical protein
442,CNAG_05523,hypothetical protein
443,CNAG_06908,pyridoxal biosynthesis lyase pdxS
444,CNAG_04351,methylmalonate-semialdehyde dehydrogenase (acylating)
445,CNAG_02850,"glucan endo-1,3-alpha-glucosidase agn1"
446,CNAG_04244,hypothetical protein
447,CNAG_05119,GabA permease
448,CNAG_03368,"microtubule Associated protein, variant"
449,CNAG_03368,microtubule Associated protein
450,CNAG_04036,hypothetical protein
451,CNAG_04891,hypothetical protein
452,CNAG_04862,"glutamate synthase (NADPH/NADH), variant"
453,CNAG_04862,glutamate synthase (NADPH/NADH)
454,CNAG_06371,guanine deaminase
455,CNAG_05251,hypothetical protein
456,CNAG_02472,endosomal P24A protein
457,CNAG_04224,"carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase, variant"
458,CNAG_04224,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase
459,CNAG_02009,extensin
460,CNAG_04835,dihydrodipicolinate synthase
461,CNAG_04176,hypothetical protein
462,CNAG_04449,"alpha-1,6-mannosyltransferase"
463,CNAG_03161,hypothetical protein
464,CNAG_00097,"MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13"
465,CNAG_03998,transcriptional activator
466,CNAG_02490,DNA repair protein MRE11
467,CNAG_01080,glycolate oxidase
468,CNAG_00048,sugar transporter
469,CNAG_02586,sugar transporter
470,CNAG_02179,hemolysin
471,CNAG_06455,hypothetical protein
472,CNAG_02865,"hypothetical protein, variant"
473,CNAG_02865,hypothetical protein
474,CNAG_03019,long-chain acyl-CoA synthetase
475,CNAG_02500,calnexin
476,CNAG_01772,hypothetical protein
477,CNAG_03775,"hypothetical protein, variant 2"
478,CNAG_03775,"hypothetical protein, variant 1"
479,CNAG_03775,hypothetical protein
480,CNAG_00242,hypothetical protein
481,CNAG_02389,AGC protein kinase
482,CNAG_05513,septum-promoting GTP-binding protein 1
483,CNAG_02724,hypothetical protein
484,CNAG_03683,short-chain dehydrogenase/reductase SDR
485,CNAG_04349,hypothetical protein
486,CNAG_01874,glutathione S-transferase
487,CNAG_06897,hypothetical protein
488,CNAG_06409,hypothetical protein
489,CNAG_07427,CK1/CK1/CK1-D protein kinase
490,CNAG_02479,monosaccharide transporter
491,CNAG_07476,hypothetical protein
492,CNAG_04230,hydroxyethylthiazole kinase
493,CNAG_01369,hypothetical protein
494,CNAG_05430,hypothetical protein
495,CNAG_00915,"hypothetical protein, variant"
496,CNAG_00915,hypothetical protein
497,CNAG_04262,E3 ubiquitin-protein ligase NRDP1
498,CNAG_04262,"E3 ubiquitin-protein ligase NRDP1, variant"
499,CNAG_04269,leucyl aminopeptidase
500,CNAG_02882,hypothetical protein
501,CNAG_04870,hypothetical protein
502,CNAG_05502,hypothetical protein
503,CNAG_01879,cathepsin A (carboxypeptidase C)
504,CNAG_02001,inositol-polyphosphate 5-phosphatase
505,CNAG_04719,solute carrier family 41
506,CNAG_07941,"hypothetical protein, variant"
507,CNAG_07941,hypothetical protein
508,CNAG_02659,"hypothetical protein, variant"
509,CNAG_02659,hypothetical protein
510,CNAG_08018,hypothetical protein
511,CNAG_03524,transmembrane receptor
512,CNAG_03265,hypothetical protein
513,CNAG_03272,hypothetical protein
514,CNAG_02523,"hypothetical protein, variant"
515,CNAG_02523,hypothetical protein
516,CNAG_00697,UDP-glucose 4-epimerase
517,CNAG_00600,capsular associated protein
518,CNAG_00475,WSC domain-containing protein
519,CNAG_01088,hypothetical protein
520,CNAG_01313,hypothetical protein
521,CNAG_01468,hypothetical protein
522,CNAG_03012,hypothetical protein
523,CNAG_01858,hypothetical protein
524,CNAG_02566,hepatocyte nuclear factor
525,CNAG_02940,calcium/proton exchanger
526,CNAG_02817,GTP-binding protein ypt2
527,CNAG_00150,peptidase
528,CNAG_03907,LIM domain containing protein
529,CNAG_03697,hormone-sensitive lipase
530,CNAG_07703,hypothetical protein
531,CNAG_04737,hypothetical protein
532,CNAG_05472,meiotic recombination protein SPO11
533,CNAG_05472,"meiotic recombination protein SPO11, variant 1"
534,CNAG_05472,"meiotic recombination protein SPO11, variant 2"
535,CNAG_07824,hypothetical protein
536,CNAG_06760,hypothetical protein
537,CNAG_06338,ABC transporter PMR5
538,CNAG_07627,hypothetical protein
539,CNAG_01632,triacylglycerol lipase
540,CNAG_01632,"triacylglycerol lipase, variant"
541,CNAG_03412,chitinase
542,CNAG_01778,hypothetical protein
543,CNAG_04652,enoyl reductase
544,CNAG_02203,karyopherin/importin that interacts with the nuclear pore complex
545,CNAG_02203,"karyopherin/importin that interacts with the nuclear pore complex, variant"
546,CNAG_06833,hypothetical protein
547,CNAG_06849,"saccharopine dehydrogenase (NAD, L-lysine forming)"
548,CNAG_00547,hypothetical protein
549,CNAG_02448,hypothetical protein
550,CNAG_03715,hypothetical protein
551,CNAG_03837,protein-L-isoaspartate O-methyltransferase
552,CNAG_06309,hypothetical protein
553,CNAG_07822,FMN adenylyltransferase
554,CNAG_02662,cysteine protease ATG4
555,CNAG_04527,hypothetical protein
556,CNAG_02876,ornithine decarboxylase
557,CNAG_03835,DASH complex subunit DAD3
558,CNAG_04634,hypothetical protein
559,CNAG_04472,membrane protein
560,CNAG_05355,E3 ubiquitin-protein ligase NEDD4
561,CNAG_00683,CMGC/CLK protein kinase
562,CNAG_02499,hypothetical protein
563,CNAG_00068,specific RNA polymerase II transcription factor
564,CNAG_01795,hypothetical protein
565,CNAG_01594,glycine dehydrogenase
566,CNAG_04602,hypothetical protein
567,CNAG_07329,hypothetical protein
568,CNAG_02884,DNA replication complex GINS protein PSF2
569,CNAG_05442,TATA-box-binding protein
570,CNAG_01722,vacuolar protein sorting-associated protein vps13
571,CNAG_03952,hypothetical protein
572,CNAG_04963,"hypothetical protein, variant"
573,CNAG_04963,hypothetical protein
574,CNAG_01540,dehydrogenase
575,CNAG_00474,hypothetical protein
576,CNAG_03041,hypothetical protein
577,CNAG_02307,L-serine ammonia-lyase
578,CNAG_05930,hypothetical protein
579,CNAG_00677,E3 ubiquitin-protein ligase UHRF1
580,CNAG_03173,DNA damage-binding protein 1
581,CNAG_06034,allantoin permease
582,CNAG_02603,early growth response protein 1
583,CNAG_05067,hypothetical protein
584,CNAG_02053,hypothetical protein
585,CNAG_03328,hypothetical protein
586,CNAG_05893,hypothetical protein
587,CNAG_04655,rab family protein
588,CNAG_03287,28 kda golgi snare protein
589,CNAG_03365,"hypothetical protein, variant"
590,CNAG_03365,hypothetical protein
591,CNAG_00322,hypothetical protein
592,CNAG_04537,hypothetical protein
593,CNAG_06092,cyclin
594,CNAG_03714,microtubule motor protein
595,CNAG_03233,hypothetical protein
596,CNAG_07358,hypothetical protein
597,CNAG_03234,cell wall surface anchor protein
598,CNAG_03234,"cell wall surface anchor protein, variant"
599,CNAG_03639,hypothetical protein
600,CNAG_06230,hypothetical protein
601,CNAG_04609,argonaute
602,CNAG_03543,hypothetical protein
603,CNAG_03543,"hypothetical protein, variant"
604,CNAG_05039,hypothetical protein
605,CNAG_03397,hypothetical protein
606,CNAG_00257,"kinesin family member 21A, variant"
607,CNAG_00257,kinesin family member 21A
608,CNAG_02962,CMGC/DYRK/PRP4 protein kinase
609,CNAG_04787,membrane protein
610,CNAG_06117,hypothetical protein
611,CNAG_06117,"hypothetical protein, variant 1"
612,CNAG_06117,"hypothetical protein, variant 2"
613,CNAG_01802,Fe-S cluster assembly protein DRE2
614,CNAG_04675,hypothetical protein
615,CNAG_06761,siderophore-iron transporter Str1
616,CNAG_02821,hypothetical protein
617,CNAG_04434,hypothetical protein
618,CNAG_05372,B2-aldehyde-forming enzyme
619,CNAG_06205,hypothetical protein
620,CNAG_06544,non-histone chromosomal protein 6
621,CNAG_03101,efflux protein EncT
622,CNAG_03784,hypothetical protein
623,CNAG_00283,hypothetical protein
624,CNAG_05376,3-dehydroshikimate dehydratase
625,CNAG_00751,hypothetical protein
626,CNAG_03746,hypothetical protein
627,CNAG_03587,hypothetical protein
628,CNAG_00460,hypothetical protein
629,CNAG_06681,hypothetical protein
630,CNAG_03016,"chaperone regulator, variant"
631,CNAG_03016,chaperone regulator
632,CNAG_03426,GDP-mannose transporter 2
633,CNAG_01663,dynactin 4
634,CNAG_06896,cytoplasmic protein
635,CNAG_05517,"solute carrier family 45, member 1/2/4"
636,CNAG_03827,hypothetical protein
637,CNAG_00755,hypothetical protein
638,CNAG_07682,hypothetical protein
639,CNAG_07682,"hypothetical protein, variant"
640,CNAG_04853,derlin-2/3
641,CNAG_03463,hypothetical protein
642,CNAG_02125,"hypothetical protein, variant"
643,CNAG_02125,hypothetical protein
644,CNAG_02828,hypothetical protein
645,CNAG_00193,GATA type zinc finger protein asd-4
646,CNAG_02300,hypothetical protein
647,CNAG_07669,sorting nexin-3
648,CNAG_00368,vacuolar-sorting protein 53 long isoform
649,CNAG_02199,hypothetical protein
650,CNAG_04570,hypothetical protein
651,CNAG_01813,mannose-1-phosphate guanyltransferase
652,CNAG_02498,hypothetical protein
653,CNAG_00372,chromatin structure-remodeling complex protein RSC7
654,CNAG_07817,centromeric protein E
655,CNAG_07626,NAD-binding Rossmann fold oxidoreductase
656,CNAG_06508,"1,3-beta-glucan synthase component FKS1"
657,CNAG_02076,leukotriene A-4 hydrolase/aminopeptidase
658,CNAG_07938,hypothetical protein
659,CNAG_05908,hypothetical protein
660,CNAG_00132,"hypothetical protein, variant"
661,CNAG_00132,hypothetical protein
662,CNAG_02176,hypothetical protein
663,CNAG_01952,aryl-alcohol dehydrogenase
